country,description,log_price_normalized,points_normalized,vfm_normalized,log_pxp_normalized,encoded_variety,acidity,aromas,black,cherry,dry,finish,flavors,fruit,oak,palate,rich,ripe,sweet,tannins,wine,adj_count,polarity,subjectivity,embed_0,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20,embed_21,embed_22,embed_23,embed_24,embed_25,embed_26,embed_27,embed_28,embed_29,embed_30,embed_31,embed_32,embed_33,embed_34,embed_35,embed_36,embed_37,embed_38,embed_39,embed_40,embed_41,embed_42,embed_43,embed_44,embed_45,embed_46,embed_47,embed_48,embed_49
US,"Very good Dry Creek Zin, robust and dry and spicy. Really gets the tastebuds watering, with its tart flavors of sour cherry candy, red currants, blueberries, tart raisins and oodles of peppery spices. Drink this lusty wine with barbecue.",0.3283771284011352,0.4999999999999991,0.24640701328193076,0.3354511934847859,1.0,0.0,0.0,0.0,0.3868582979361544,0.8416886420069765,0.0,0.2660500874242268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666800296534307,9,0.1038095238095238,0.3971428571428572,-0.15860422,-0.49809045,0.02620946,0.3210778,-0.1338174,-0.5760206,1.1002774,0.98284507,-0.9979993,-0.41153008,0.25546688,-0.90756094,0.58369464,0.5872934,-0.40529203,0.51836544,0.84252167,0.14645272,-1.1679816,-0.7071744,0.5782541,0.5579074,1.1500032,-0.4123775,0.6091692,0.27808857,-0.44219694,0.4953114,-0.70267415,0.039725747,0.03805636,-0.27651593,-0.0792239,-0.45635474,-0.24285592,0.4773878,0.67375183,-0.40149048,0.21600056,-0.3784369,0.6018431,-0.11527585,-0.13295421,-0.07235587,1.268234,0.2299481,-0.020297876,-0.6455333,0.4304914,0.3523656
France,"A very herbaceous character makes this wine seem rather thin. It's soft and lightweight, and the lemon zest character is mildly attractive. Ready to drink.",0.27703216391229124,0.22222222222222143,0.29335375353172616,0.272455781704775,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0.18000000000000002,0.6,-0.1616982,-0.5002004,0.023081085,0.32300073,-0.1407787,-0.57558125,1.1283764,0.9896363,-1.0260527,-0.40808323,0.25376353,-0.9205302,0.6026314,0.57813054,-0.408946,0.5125192,0.8724925,0.13832945,-1.1850109,-0.7227673,0.5787234,0.5706243,1.1651497,-0.42850348,0.6209362,0.2843833,-0.46480063,0.5058326,-0.7198585,0.04204438,0.04367496,-0.27279344,-0.071900554,-0.45220584,-0.26397994,0.47937584,0.6675363,-0.4071321,0.22004643,-0.3878931,0.62575066,-0.11886843,-0.12742941,-0.07989228,1.2915092,0.2283056,-0.041898433,-0.67606604,0.4430834,0.35638428
US,"A little simple and easy, but there's a wealth of raspberry, strawberry and floral notes in this delicate wine. It's a bit too sweet for my tastes, although it does have good acidity.",0.265229661158644,0.22222222222222143,0.3095689105258989,0.26095624540815643,0.7403846153846154,0.6050173608788567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6879759463837662,0.0,0.4008030566656701,7,0.16597222222222222,0.6400793650793651,-0.18100263,-0.5582445,0.026927397,0.35722274,-0.15530244,-0.6419616,1.2446109,1.1062472,-1.1375917,-0.45730457,0.28346068,-1.0259922,0.6680934,0.6516694,-0.4589905,0.57173777,0.96573716,0.1546615,-1.3171167,-0.80393803,0.6451347,0.6283822,1.2965078,-0.47371817,0.68910456,0.31834662,-0.5085797,0.56716883,-0.7993735,0.047602735,0.052429568,-0.3052426,-0.08711897,-0.5068387,-0.28708085,0.5289338,0.7447894,-0.4482936,0.24474481,-0.4304886,0.6880429,-0.13297069,-0.145156,-0.09248448,1.4316313,0.2563321,-0.038737264,-0.74625087,0.488519,0.39194015
US,"From a dry-farmed vineyard and treated to wild yeast and minimal new French oak, this Petite is chewy in leathery tannins, a definite crowd pleaser for Petite fans. Blackberries, coffee and pepper commingle impressively.",0.4247216884289221,0.44444444444444375,0.15513884391472993,0.4268114130047198,0.5865384615384616,0.0,0.0,0.0,0.0,0.5793246674578925,0.0,0.0,0.0,0.6078258160800204,0.0,0.0,0.0,0.0,0.5430752314196068,0.0,6,0.18939393939393936,0.49242424242424243,-0.14924763,-0.45559877,0.025864268,0.29163027,-0.11890101,-0.52160573,1.0053612,0.8916043,-0.91923875,-0.37192196,0.23278949,-0.8296048,0.53011334,0.5328347,-0.37168363,0.46846777,0.7771973,0.12563105,-1.0679506,-0.64718103,0.528012,0.51167834,1.0472469,-0.3844179,0.562614,0.25499773,-0.40766722,0.4533753,-0.6437122,0.03709091,0.038785167,-0.2493613,-0.069450594,-0.41149032,-0.2263747,0.4313804,0.6034452,-0.36270863,0.19866785,-0.3440084,0.5579441,-0.10437609,-0.1160589,-0.067699514,1.1622002,0.20795587,-0.030090423,-0.5984387,0.3999131,0.3207041
US,"From a site near Annapolis, this wine shows a preponderance of dark grape and cherry flavor interwoven with cinnamon and black peppercorn. Light-bodied and ethereally layered, it has touches of rustic earthiness and leather.",0.5373659306511478,0.6111111111111107,0.09293092595321469,0.5441239333095664,0.6346153846153847,0.0,0.0,0.6912241021774542,0.5949722464458673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41014298302924856,5,-0.07222222222222222,0.41111111111111115,-0.16430278,-0.49653655,0.022827942,0.31235486,-0.12803805,-0.5691352,1.0871819,0.9743752,-0.9912002,-0.40275487,0.25075758,-0.89982796,0.57604015,0.58059293,-0.4012182,0.51019144,0.83474463,0.14733545,-1.1597285,-0.70059055,0.5740862,0.5493566,1.1419637,-0.41331872,0.6046099,0.2754378,-0.4367066,0.49075568,-0.6978167,0.041675813,0.04657885,-0.27235642,-0.08343373,-0.45145285,-0.2367845,0.47273114,0.66466653,-0.39333397,0.21438746,-0.37296832,0.5947932,-0.11749886,-0.12860835,-0.071645044,1.2552915,0.22984391,-0.023280406,-0.6434977,0.43357077,0.34634504
US,"A mix of Cabernet, Cab Franc and Syrah, this out-of-the-ordinary blend is a little funky and meaty, but still offers lots of juicy black fruit and a whole lot of toasted oak. If any one thing announces itself here it's the wood, which keeps everything austere and maybe a touch overcharred.",0.44775072778616076,0.4999999999999991,0.1407069864992814,0.4517907546916591,0.06730769230769232,0.0,0.0,0.6336532839021223,0.0,0.0,0.0,0.0,0.45928989313128565,0.6225241440036755,0.0,0.0,0.0,0.0,0.0,0.0,9,-0.01354166666666666,0.33333333333333337,-0.15940446,-0.48972538,0.023902796,0.30790806,-0.1263014,-0.5551102,1.0754081,0.9602935,-0.9831645,-0.39295083,0.24879327,-0.89080757,0.5746175,0.57142776,-0.39677742,0.5015601,0.8302447,0.13665034,-1.1434172,-0.69086456,0.5633802,0.5425112,1.1258761,-0.40744123,0.5955128,0.27398214,-0.43202007,0.4868174,-0.68947524,0.036210418,0.04184754,-0.26487893,-0.07783029,-0.44151357,-0.23961572,0.4632762,0.64872366,-0.38897672,0.21531267,-0.37156963,0.5909485,-0.116318434,-0.1264864,-0.07388883,1.2345647,0.22680399,-0.028845893,-0.6366262,0.42754495,0.3388375
Italy,"Taurasi is a wine that flaunts a determined and powerful personality, and Fatica Contadina is no exception, thanks to its deep layers of spice, dark fruit, tobacco and cigar that it delivers to the senses. On the palate, it is austere and tightly structured.",0.3851792266937255,0.4999999999999991,0.18928236645454305,0.3908069565442631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5204598635797233,0.0,0.7399975230545348,0.0,0.0,0.0,0.0,0.4260577381948708,5,0.03428571428571428,0.45714285714285713,-0.17325696,-0.54155767,0.030200316,0.3429271,-0.1480801,-0.6178609,1.1913452,1.0641743,-1.0892438,-0.44034296,0.2763838,-0.98404574,0.6347503,0.6286172,-0.43641886,0.5586674,0.9166812,0.15507178,-1.2652742,-0.7684655,0.6212929,0.60302645,1.2454637,-0.45209545,0.65900254,0.3019132,-0.4838472,0.5358719,-0.7617702,0.04059418,0.043672528,-0.29431495,-0.079819195,-0.48891005,-0.26752752,0.51346064,0.72364783,-0.4284774,0.23424374,-0.41085967,0.6576747,-0.12887159,-0.14105499,-0.08257391,1.3718207,0.24468441,-0.030956743,-0.7071841,0.4699345,0.37678084
US,"Sourced entirely from Walla Walla's Les Collines Vineyard, this lovely Syrah features pretty strawberry and cherry flavors that are broadly displayed with a rich vein of chocolate. It's forward and flavorful, drinking quite nicely already, but with the stuffing to cellar for a few more years.",0.43652419118256935,0.5555555555555554,0.15031290433313088,0.44335451114142166,0.8365384615384616,0.0,0.0,0.0,0.5823517078524335,0.0,0.0,0.40049476413546536,0.0,0.0,0.0,0.7074393488218138,0.0,0.0,0.0,0.0,6,0.26093750000000004,0.6296875,-0.15907216,-0.48830515,0.024291655,0.31352,-0.13263384,-0.5602512,1.0813262,0.9578847,-0.98662126,-0.39524722,0.2487324,-0.8881246,0.5789236,0.5664598,-0.3999322,0.49931023,0.832804,0.13440058,-1.1427016,-0.69430774,0.5621757,0.5447992,1.1275048,-0.41106123,0.60030115,0.2711449,-0.4376358,0.48773682,-0.69252235,0.03873021,0.04158765,-0.26685145,-0.076114185,-0.43891892,-0.2456664,0.46260005,0.6466745,-0.39179647,0.21241309,-0.3720754,0.5991685,-0.114321485,-0.122468084,-0.07639942,1.2415861,0.225012,-0.03330365,-0.6480726,0.42598978,0.34025836
US,"There's a lot to like about this Viognier. It's dry and zesty in acidity, with complex flavors of citrus, peach, kumquat, white pepper, chamomile and honey.",0.27703216391229124,0.5555555555555554,0.3153600380238177,0.28792396848084834,0.9615384615384616,0.6287307234405035,0.0,0.0,0.0,0.6572927582423327,0.0,0.41552846757372386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-0.12222222222222222,0.3333333333333333,-0.18918999,-0.59296495,0.030778775,0.37596008,-0.16425727,-0.6828687,1.3052648,1.1680427,-1.1873624,-0.4857183,0.30292416,-1.078555,0.6935537,0.696765,-0.48090416,0.6111604,1.0077226,0.17020172,-1.3848737,-0.8447512,0.6848672,0.65979415,1.3651593,-0.49081,0.72279805,0.33326584,-0.5266091,0.59092027,-0.8325335,0.04871724,0.048251852,-0.3201863,-0.09152156,-0.5387224,-0.29393056,0.5589119,0.7923134,-0.47570944,0.253013,-0.44868892,0.7189328,-0.13798796,-0.15191023,-0.095674545,1.5045075,0.27338642,-0.03292184,-0.77331257,0.5130369,0.41671735
US,"A crisp, refreshing Sauvignon Blanc, fermented and aged in stainless steel. Shows rich, savory citrus and green grass flavors, with hints of minerals and flowers. Very drinkable and bone-dry.",0.28825870051588276,0.5555555555555554,0.2996412633866094,0.29886307288789493,0.7980769230769231,0.0,0.0,0.0,0.0,0.6146826144835581,0.0,0.3885911135299541,0.0,0.0,0.0,0.6864125799671856,0.0,0.0,0.0,0.0,7,0.17500000000000002,0.48095238095238096,-0.16938438,-0.52059627,0.02777234,0.3326919,-0.13560408,-0.59766,1.1386527,1.0190842,-1.0377024,-0.42263204,0.26473907,-0.94049793,0.60321003,0.61065125,-0.422905,0.540185,0.8736694,0.15070276,-1.2160656,-0.7362965,0.59841543,0.5770017,1.1959687,-0.4333498,0.6337613,0.28853875,-0.45444334,0.51563317,-0.7298172,0.040502362,0.04177003,-0.2830358,-0.08168907,-0.4726616,-0.24876767,0.49404988,0.6988128,-0.41860262,0.2216839,-0.38700733,0.6248427,-0.12126259,-0.1386349,-0.074294664,1.3147284,0.23959552,-0.02078707,-0.6713398,0.45020252,0.36388373
